category,neighborhood,primary_type,classification,year,beat,community_area,domestic,iucr,long,location_description,case_number,crime_date,lat,community_number,ward,fbi_code,id,block,description
Q,Gresham,NARCOTICS,/api/1.0-beta1/crimeclassification/242/,2013,621,/api/1.0-beta1/communityarea/71/,TRUE,1811,-87.64117465,STREET,HW203428,2013-03-23T04:05:00,41.75057441,71,17,18,9058780,006XX W 79TH ST,POSS: CANNABIS 30GMS OR LESS
-,River North,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1831,/api/1.0-beta1/communityarea/8/,TRUE,486,-87.63612214,SIDEWALK,HW203445,2013-03-23T04:00:00,41.89487602,8,42,08B,9058812,003XX W HURON ST,DOMESTIC BATTERY SIMPLE
-,Belmont Central,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/298/,2013,2514,/api/1.0-beta1/communityarea/19/,TRUE,2826,-87.76706389,APARTMENT,HW203831,2013-03-23T04:00:00,41.93502827,19,31,26,9059172,056XX W WELLINGTON AVE,HARASSMENT BY ELECTRONIC MEANS
-,Fifth City,SEX OFFENSE,/api/1.0-beta1/crimeclassification/184/,2013,1123,/api/1.0-beta1/communityarea/27/,TRUE,1562,-87.71129281,APARTMENT,HW203598,2013-03-23T04:00:00,41.87969855,27,28,17,9059004,034XX W MONROE ST,AGG CRIMINAL SEXUAL ABUSE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,1651,/api/1.0-beta1/communityarea/76/,TRUE,820,-87.90972097,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,HW203454,2013-03-23T04:00:00,41.9807774,76,41,6,9062135,0000X W C27 ST,$500 AND UNDER
-,Belmont Central,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2013,2512,/api/1.0-beta1/communityarea/19/,TRUE,2820,-87.78331991,RESIDENCE,HW208341,2013-03-23T04:00:00,41.92856506,19,29,26,9063694,026XX N MOBILE AVE,TELEPHONE THREAT
-,South Austin,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1531,/api/1.0-beta1/communityarea/25/,TRUE,486,-87.7508299,SIDEWALK,HW203437,2013-03-23T04:00:00,41.89507335,25,37,08B,9058895,050XX W CHICAGO AVE,DOMESTIC BATTERY SIMPLE
Q,Gage Park,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2013,824,/api/1.0-beta1/communityarea/63/,TRUE,1320,-87.68505253,STREET,HW203467,2013-03-23T04:00:00,41.79057877,63,16,14,9058785,056XX S ARTESIAN AVE,TO VEHICLE
Q,Back of the Yards,NARCOTICS,/api/1.0-beta1/crimeclassification/242/,2013,924,/api/1.0-beta1/communityarea/61/,TRUE,1811,-87.68404085,STREET,HW203422,2013-03-23T03:50:00,41.82032656,61,12,18,9058770,040XX S WESTERN BLVD,POSS: CANNABIS 30GMS OR LESS
-,Portage Park,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1624,/api/1.0-beta1/communityarea/15/,TRUE,486,-87.74870809,RESIDENCE PORCH/HALLWAY,HW203416,2013-03-23T03:45:00,41.95411563,15,45,08B,9058748,040XX N MILWAUKEE AVE,DOMESTIC BATTERY SIMPLE
Q,South Shore,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,421,/api/1.0-beta1/communityarea/43/,TRUE,1310,-87.56378928,APARTMENT,HW203805,2013-03-23T03:45:00,41.75838915,43,7,14,9059003,075XX S ESSEX AVE,TO PROPERTY
-,West Pullman,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,524,/api/1.0-beta1/communityarea/53/,TRUE,486,-87.64584038,RESIDENCE,HW207735,2013-03-23T03:45:00,41.6824719,53,34,08B,9062891,009XX W 116TH PL,DOMESTIC BATTERY SIMPLE
-,South Austin,ASSAULT,/api/1.0-beta1/crimeclassification/69/,2013,1522,/api/1.0-beta1/communityarea/25/,TRUE,554,-87.75795305,RESIDENTIAL YARD (FRONT/BACK),HW203420,2013-03-23T03:37:00,41.87651149,25,29,08A,9058810,053XX W JACKSON BLVD,AGG PO HANDS NO/MIN INJURY
V,Rogers Park,BATTERY,/api/1.0-beta1/crimeclassification/366/,2013,2422,/api/1.0-beta1/communityarea/1/,TRUE,041A,-87.67242301,STREET,HW203398,2013-03-23T03:34:00,42.02106907,1,49,04B,9058835,016XX W JONQUIL TER,AGGRAVATED: HANDGUN
V,Goose Island,ROBBERY,/api/1.0-beta1/crimeclassification/20/,2013,1433,/api/1.0-beta1/communityarea/24/,TRUE,320,-87.66108364,BAR OR TAVERN,HW206628,2013-03-23T03:30:00,41.91061211,24,32,3,9061511,013XX W NORTH AVE,STRONGARM - NO WEAPON
-,West Pullman,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,523,/api/1.0-beta1/communityarea/53/,TRUE,486,-87.63058317,RESIDENCE,HW203408,2013-03-23T03:30:00,41.66756293,53,34,08B,9058790,124XX S HARVARD AVE,DOMESTIC BATTERY SIMPLE
Q,East Garfield Park,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,1123,/api/1.0-beta1/communityarea/27/,TRUE,1310,-87.7104034,STREET,HW203410,2013-03-23T03:27:00,41.88544841,27,28,14,9058774,033XX W WALNUT ST,TO PROPERTY
V,West Englewood,BATTERY,/api/1.0-beta1/crimeclassification/58/,2013,832,/api/1.0-beta1/communityarea/66/,TRUE,496,-87.68074337,ALLEY,HW203419,2013-03-23T03:25:00,41.77145958,66,17,04B,9058783,067XX S OAKLEY AVE,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
Q,Bucktown,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/143/,2013,1434,/api/1.0-beta1/communityarea/24/,TRUE,1305,-87.67746185,TAVERN/LIQUOR STORE,HW203414,2013-03-23T03:25:00,41.91058882,24,32,14,9058739,019XX W NORTH AVE,CRIMINAL DEFACEMENT
P,Lake View,THEFT,/api/1.0-beta1/crimeclassification/91/,2013,1924,/api/1.0-beta1/communityarea/6/,TRUE,870,-87.6546037,BAR OR TAVERN,HW203400,2013-03-23T03:25:00,41.94001402,6,44,6,9058747,010XX W BELMONT AVE,POCKET-PICKING
-,Brighton Park,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/354/,2013,821,/api/1.0-beta1/communityarea/58/,TRUE,5002,-87.70834451,PARKING LOT/GARAGE(NON.RESID.),HW203409,2013-03-23T03:20:00,41.80687719,58,14,26,9058746,033XX W 47TH PL,OTHER VEHICLE OFFENSE
V,Chatham,BATTERY,/api/1.0-beta1/crimeclassification/29/,2013,624,/api/1.0-beta1/communityarea/69/,TRUE,430,-87.60918994,STREET,HW204629,2013-03-23T03:19:00,41.758333,69,6,04B,9059822,075XX S CHAMPLAIN AVE,AGGRAVATED: OTHER DANG WEAPON
-,East Garfield Park,WEAPONS VIOLATION,/api/1.0-beta1/crimeclassification/375/,2013,1133,/api/1.0-beta1/communityarea/27/,TRUE,143A,-87.7159226,STREET,HW203418,2013-03-23T03:18:00,41.87710003,27,28,15,9058781,036XX W JACKSON BLVD,UNLAWFUL POSS OF HANDGUN
V,West Pullman,BATTERY,/api/1.0-beta1/crimeclassification/60/,2013,524,/api/1.0-beta1/communityarea/53/,TRUE,498,-87.64086864,STREET,HW203412,2013-03-23T03:15:00,41.67840513,53,34,04B,9058787,118XX S EMERALD AVE,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
-,Gresham,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,614,/api/1.0-beta1/communityarea/71/,TRUE,460,-87.66318913,APARTMENT,HW203394,2013-03-23T03:04:00,41.74628384,71,21,08B,9058776,081XX S ASHLAND AVE,SIMPLE
P,River North,THEFT,/api/1.0-beta1/crimeclassification/91/,2013,1831,/api/1.0-beta1/communityarea/8/,TRUE,870,-87.63577801,BAR OR TAVERN,HW203484,2013-03-23T03:00:00,41.89375977,8,42,6,9058815,006XX N FRANKLIN ST,POCKET-PICKING
-,South Chicago,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,424,/api/1.0-beta1/communityarea/46/,TRUE,486,-87.55036946,APARTMENT,HW203430,2013-03-23T03:00:00,41.73863008,46,10,08B,9058767,086XX S HOUSTON AVE,DOMESTIC BATTERY SIMPLE
P,Gage Park,THEFT,/api/1.0-beta1/crimeclassification/93/,2013,824,/api/1.0-beta1/communityarea/63/,TRUE,890,-87.68775237,APARTMENT,HW203872,2013-03-23T03:00:00,41.7904842,63,16,6,9059067,056XX S MAPLEWOOD AVE,FROM BUILDING
V,South Austin,ASSAULT,/api/1.0-beta1/crimeclassification/68/,2013,1513,/api/1.0-beta1/communityarea/25/,TRUE,553,-87.77165704,RESIDENCE,HW203749,2013-03-23T03:00:00,41.88064906,25,29,04A,9059115,0000X N MAYFIELD AVE,AGGRAVATED PO: OTHER DANG WEAP
P,The Loop,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,113,/api/1.0-beta1/communityarea/32/,TRUE,820,-87.62617672,SIDEWALK,HW203411,2013-03-23T03:00:00,41.87581408,32,2,6,9058750,004XX S WABASH AVE,$500 AND UNDER
P,West Pullman,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,522,/api/1.0-beta1/communityarea/53/,TRUE,820,-87.62758423,SIDEWALK,HW204362,2013-03-23T03:00:00,41.67808008,53,34,6,9059419,002XX W 119TH ST,$500 AND UNDER
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2013,1653,/api/1.0-beta1/communityarea/76/,TRUE,810,-87.90098446,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,HW203482,2013-03-23T03:00:00,41.97665322,76,41,6,9062155,0000X W TERMINAL ST,OVER $500
-,Old Irving Park,CRIMINAL TRESPASS,/api/1.0-beta1/crimeclassification/152/,2013,1722,/api/1.0-beta1/communityarea/16/,TRUE,1365,-87.72939422,APARTMENT,HW203413,2013-03-23T03:00:00,41.95472092,16,39,26,9058742,040XX N KEYSTONE AVE,TO RESIDENCE
Q,Wrightwood,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,835,/api/1.0-beta1/communityarea/70/,TRUE,1310,-87.70044327,"SCHOOL, PRIVATE, BUILDING",HW205686,2013-03-23T03:00:00,41.73533122,70,18,14,9060527,031XX W 87TH ST,TO PROPERTY
P,The Loop,THEFT,/api/1.0-beta1/crimeclassification/82/,2013,111,/api/1.0-beta1/communityarea/32/,TRUE,810,-87.62808233,STREET,HW207630,2013-03-23T03:00:00,41.88550475,32,42,6,9062797,001XX N STATE ST,OVER $500
P,Parkway Gardens,THEFT,/api/1.0-beta1/crimeclassification/82/,2013,312,/api/1.0-beta1/communityarea/69/,TRUE,810,-87.61573365,RESIDENCE,HW203450,2013-03-23T03:00:00,41.77859676,69,20,6,9058762,063XX S DR MARTIN LUTHER KING JR DR,OVER $500
V,Logan Square,BATTERY,/api/1.0-beta1/crimeclassification/29/,2013,1431,/api/1.0-beta1/communityarea/22/,TRUE,430,-87.69007818,SIDEWALK,HW203381,2013-03-23T02:50:00,41.918602,22,1,04B,9058738,020XX N MILWAUKEE AVE,AGGRAVATED: OTHER DANG WEAPON
Q,South Shore,NARCOTICS,/api/1.0-beta1/crimeclassification/242/,2013,421,/api/1.0-beta1/communityarea/43/,TRUE,1811,-87.56153818,STREET,HW203421,2013-03-23T02:45:00,41.75202374,43,7,18,9058766,078XX S COLFAX AVE,POSS: CANNABIS 30GMS OR LESS
-,Greektown,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,1232,/api/1.0-beta1/communityarea/28/,TRUE,460,-87.64813989,SIDEWALK,HW203377,2013-03-23T02:38:00,41.87804383,28,27,08B,9058724,008XX W JACKSON BLVD,SIMPLE
V,Englewood,BATTERY,/api/1.0-beta1/crimeclassification/58/,2013,722,/api/1.0-beta1/communityarea/68/,TRUE,496,-87.63774961,APARTMENT,HW203379,2013-03-23T02:37:00,41.7779281,68,20,04B,9058744,005XX W 64TH ST,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
-,West Town,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,1215,/api/1.0-beta1/communityarea/24/,TRUE,460,-87.66726392,STREET,HW203368,2013-03-23T02:35:00,41.89108721,24,26,08B,9058726,016XX W GRAND AVE,SIMPLE
Q,Back of the Yards,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2013,931,/api/1.0-beta1/communityarea/61/,TRUE,1320,-87.66954969,DRIVEWAY - RESIDENTIAL,HW203372,2013-03-23T02:35:00,41.80326214,61,16,14,9058704,049XX S WOOD ST,TO VEHICLE
Q,Park Manor,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2013,322,/api/1.0-beta1/communityarea/69/,TRUE,1320,-87.61606304,STREET,HW203373,2013-03-23T02:34:00,41.76943563,69,20,14,9058737,003XX E 69TH ST,TO VEHICLE
V,Albany Park,CRIM SEXUAL ASSAULT,/api/1.0-beta1/crimeclassification/16/,2013,1713,/api/1.0-beta1/communityarea/14/,TRUE,281,-87.70504012,VEHICLE NON-COMMERCIAL,HW203464,2013-03-23T02:30:00,41.97137106,14,33,2,9058808,049XX N WHIPPLE ST,NON-AGGRAVATED
Q,Back of the Yards,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2013,931,/api/1.0-beta1/communityarea/61/,TRUE,1320,-87.66954969,DRIVEWAY - RESIDENTIAL,HW203370,2013-03-23T02:30:00,41.80326214,61,16,14,9058707,049XX S WOOD ST,TO VEHICLE
Q,Belmont Central,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/143/,2013,2512,/api/1.0-beta1/communityarea/19/,TRUE,1305,-87.77842575,RESIDENCE-GARAGE,HW207683,2013-03-23T02:30:00,41.92762768,19,29,14,9062803,026XX N MEADE AVE,CRIMINAL DEFACEMENT
V,Humboldt Park,BATTERY,/api/1.0-beta1/crimeclassification/366/,2013,1112,/api/1.0-beta1/communityarea/23/,TRUE,041A,-87.72604254,SIDEWALK,HW203360,2013-03-23T02:21:00,41.90074077,23,27,04B,9058751,039XX W THOMAS ST,AGGRAVATED: HANDGUN
P,River North,THEFT,/api/1.0-beta1/crimeclassification/93/,2013,1831,/api/1.0-beta1/communityarea/8/,TRUE,890,-87.63577801,RESTAURANT,HW203384,2013-03-23T02:15:00,41.89375977,8,42,6,9058728,006XX N FRANKLIN ST,FROM BUILDING
-,Cragin,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2013,2521,/api/1.0-beta1/communityarea/19/,TRUE,560,-87.75587059,APARTMENT,HW203357,2013-03-23T02:10:00,41.93608393,19,31,08A,9058694,051XX W NELSON ST,SIMPLE
-,Albany Park,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2013,1723,/api/1.0-beta1/communityarea/16/,TRUE,560,-87.71800366,RESIDENCE,HW203359,2013-03-23T02:10:00,41.955223,16,33,08A,9060699,040XX N CENTRAL PARK AVE,SIMPLE
-,Chinatown,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,914,/api/1.0-beta1/communityarea/34/,TRUE,460,-87.63260492,SIDEWALK,HW203362,2013-03-23T02:10:00,41.8520526,34,25,08B,9058708,002XX W 22ND PL,SIMPLE
-,Chicago Lawn,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2013,823,/api/1.0-beta1/communityarea/66/,TRUE,560,-87.69739836,APARTMENT,HW203355,2013-03-23T02:06:00,41.77916566,66,15,08A,9058687,029XX W 63RD ST,SIMPLE
Q,Portage Park,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,1624,/api/1.0-beta1/communityarea/15/,TRUE,1310,-87.75481694,BAR OR TAVERN,HW203363,2013-03-23T02:05:00,41.95343856,15,45,14,9058846,051XX W IRVING PARK RD,TO PROPERTY
-,Archer Heights,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,815,/api/1.0-beta1/communityarea/57/,TRUE,486,-87.72412264,STREET,HW203404,2013-03-23T02:00:00,41.81978048,57,14,08B,9058782,040XX S PULASKI RD,DOMESTIC BATTERY SIMPLE
-,Chatham,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,624,/api/1.0-beta1/communityarea/69/,TRUE,486,-87.6148329,VEHICLE NON-COMMERCIAL,HW206766,2013-03-23T02:00:00,41.75122501,69,6,08B,9061727,004XX E 79TH ST,DOMESTIC BATTERY SIMPLE
-,West Garfield Park,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/337/,2013,1115,/api/1.0-beta1/communityarea/26/,TRUE,4387,-87.72646169,RESIDENCE PORCH/HALLWAY,HW203497,2013-03-23T02:00:00,41.87897016,26,28,26,9058821,040XX W WILCOX ST,VIOLATE ORDER OF PROTECTION
P,Belmont Heights,BURGLARY,/api/1.0-beta1/crimeclassification/80/,2013,1631,/api/1.0-beta1/communityarea/17/,TRUE,630,-87.81773207,RESIDENCE,HW203351,2013-03-23T02:00:00,41.94172414,17,36,5,9058763,034XX N OTTAWA AVE,ATTEMPT FORCIBLE ENTRY
-,Chicago Lawn,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/297/,2013,823,/api/1.0-beta1/communityarea/66/,TRUE,2825,-87.69896043,RESIDENCE,HW203730,2013-03-23T02:00:00,41.77914411,66,15,26,9058970,030XX W 63RD ST,HARASSMENT BY TELEPHONE
P,Near West Side,THEFT,/api/1.0-beta1/crimeclassification/93/,2013,1232,/api/1.0-beta1/communityarea/28/,TRUE,890,-87.64941349,RESIDENCE,HW203724,2013-03-23T02:00:00,41.87740927,28,2,6,9058955,003XX S PEORIA ST,FROM BUILDING
-,Gold Coast,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/123/,2013,1834,/api/1.0-beta1/communityarea/8/,TRUE,1152,-87.62013698,BANK,HW203772,2013-03-23T02:00:00,41.89393537,8,42,11,9059019,006XX N FAIRBANKS CT,ILLEGAL USE CASH CARD
Q,South Shore,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,324,/api/1.0-beta1/communityarea/43/,TRUE,1310,-87.58486619,APARTMENT,HW205027,2013-03-23T02:00:00,41.76386055,43,5,14,9059970,072XX S CORNELL AVE,TO PROPERTY
P,West Town,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,1215,/api/1.0-beta1/communityarea/28/,TRUE,820,-87.66419591,VEHICLE NON-COMMERCIAL,HW203395,2013-03-23T02:00:00,41.88733995,28,27,6,9058725,003XX N LAFLIN ST,$500 AND UNDER
-,Rogers Park,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2013,2423,/api/1.0-beta1/communityarea/1/,TRUE,560,-87.6654006,STREET,HW203347,2013-03-23T01:56:00,42.01268611,1,49,08A,9058718,013XX W TOUHY AVE,SIMPLE
-,Heart of Chicago,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1234,/api/1.0-beta1/communityarea/31/,TRUE,486,-87.68350967,RESIDENCE,HW203338,2013-03-23T01:55:00,41.85470921,31,25,08B,9058683,023XX W CULLERTON ST,DOMESTIC BATTERY SIMPLE
P,Wrigleyville,THEFT,/api/1.0-beta1/crimeclassification/91/,2013,1924,/api/1.0-beta1/communityarea/6/,TRUE,870,-87.65643494,SIDEWALK,HW203358,2013-03-23T01:45:00,41.94688536,6,44,6,9058768,035XX N CLARK ST,POCKET-PICKING
V,South Austin,ROBBERY,/api/1.0-beta1/crimeclassification/21/,2013,1511,/api/1.0-beta1/communityarea/25/,TRUE,325,-87.77424706,STREET,HW203387,2013-03-23T01:45:00,41.89483574,25,29,3,9058881,059XX W CHICAGO AVE,VEHICULAR HIJACKING
P,Albany Park,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,1723,/api/1.0-beta1/communityarea/16/,TRUE,820,-87.71450367,STREET,HW203353,2013-03-23T01:45:00,41.96092861,16,33,6,9058723,043XX N BERNARD ST,$500 AND UNDER
Q,Little Village,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/149/,2013,1033,/api/1.0-beta1/communityarea/30/,TRUE,1345,-87.70496423,STREET,HW203354,2013-03-23T01:41:00,41.8468675,30,24,14,9058735,024XX S KEDZIE AVE,TO CITY OF CHICAGO PROPERTY
Q,Portage Park,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,1624,/api/1.0-beta1/communityarea/15/,TRUE,1310,-87.74799303,CURRENCY EXCHANGE,HW203515,2013-03-23T01:40:00,41.95351374,15,45,14,9058820,048XX W IRVING PARK RD,TO PROPERTY
V,Englewood,CRIM SEXUAL ASSAULT,/api/1.0-beta1/crimeclassification/16/,2013,732,/api/1.0-beta1/communityarea/68/,TRUE,281,-87.63854295,CHA HALLWAY/STAIRWELL/ELEVATOR,HW203592,2013-03-23T01:40:00,41.76692553,68,6,2,9058943,070XX S PARNELL AVE,NON-AGGRAVATED
V,South Shore,ASSAULT,/api/1.0-beta1/crimeclassification/67/,2013,334,/api/1.0-beta1/communityarea/43/,TRUE,552,-87.563304,SIDEWALK,HW203344,2013-03-23T01:37:00,41.75973883,43,7,04A,9058715,074XX S KINGSTON AVE,AGGRAVATED PO:KNIFE/CUT INSTR
-,South Shore,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,324,/api/1.0-beta1/communityarea/43/,TRUE,486,-87.58148192,APARTMENT,HW203343,2013-03-23T01:35:00,41.76143994,43,8,08B,9058710,017XX E 73RD PL,DOMESTIC BATTERY SIMPLE
-,Logan Square,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,1431,/api/1.0-beta1/communityarea/22/,TRUE,460,-87.6899723,BAR OR TAVERN,HW204780,2013-03-23T01:30:00,41.91853554,22,1,08B,9059770,020XX N MILWAUKEE AVE,SIMPLE
V,Heart of Chicago,ROBBERY,/api/1.0-beta1/crimeclassification/20/,2013,1234,/api/1.0-beta1/communityarea/31/,TRUE,320,-87.66937084,CTA TRAIN,HW203352,2013-03-23T01:30:00,41.85785834,31,25,3,9058732,017XX W 18TH ST,STRONGARM - NO WEAPON
P,The Loop,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,111,/api/1.0-beta1/communityarea/32/,TRUE,820,-87.62808642,STREET,HW203393,2013-03-23T01:30:00,41.88580115,32,42,6,9061743,002XX N STATE ST,$500 AND UNDER
-,Graceland West,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/131/,2013,1912,/api/1.0-beta1/communityarea/6/,TRUE,1210,-87.66567592,STREET,HW203390,2013-03-23T01:30:00,41.95536695,6,47,11,9058722,014XX W CUYLER AVE,THEFT OF LABOR/SERVICES
-,Gage Park,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,932,/api/1.0-beta1/communityarea/63/,TRUE,486,-87.68179151,RESIDENCE,HW203679,2013-03-23T01:30:00,41.79394403,63,16,08B,9059045,023XX W GARFIELD BLVD,DOMESTIC BATTERY SIMPLE
Q,Ravenswood,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,2032,/api/1.0-beta1/communityarea/3/,TRUE,1310,-87.67095623,APARTMENT,HW203336,2013-03-23T01:30:00,41.97195607,3,47,14,9059096,049XX N PAULINA ST,TO PROPERTY
-,Kilbourn Park,BATTERY,/api/1.0-beta1/crimeclassification/30/,2013,1731,/api/1.0-beta1/communityarea/16/,TRUE,440,-87.72734094,SMALL RETAIL STORE,HW203331,2013-03-23T01:30:00,41.93939188,16,31,08B,9058736,032XX N PULASKI RD,AGG: HANDS/FIST/FEET NO/MINOR INJURY
P,West Town,THEFT,/api/1.0-beta1/crimeclassification/82/,2013,1214,/api/1.0-beta1/communityarea/24/,TRUE,810,-87.65598192,APARTMENT,HW204822,2013-03-23T01:30:00,41.8927693,24,27,6,9059789,006XX N MAY ST,OVER $500
-,Little Village,PUBLIC PEACE VIOLATION,/api/1.0-beta1/crimeclassification/39/,2013,1033,/api/1.0-beta1/communityarea/30/,TRUE,470,-87.70443824,STREET,HW203328,2013-03-23T01:20:00,41.84623618,30,12,24,9058675,031XX W 25TH ST,RECKLESS CONDUCT
